,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
40,"(0.5783628225326538, 0.27871739864349365)","(0.5975039005279541, 0.2735573947429657)","(0.5713143944740295, 0.2701430022716522)","(0.6218304634094238, 0.2926342487335205)","(0.5601285696029663, 0.2808833122253418)","(0.636510968208313, 0.35747143626213074)","(0.5131005644798279, 0.32447755336761475)","(0.673524022102356, 0.4339431822299957)","(0.43097183108329773, 0.27438607811927795)","(0.641949474811554, 0.41618791222572327)","(0.48191747069358826, 0.25271543860435486)","(0.5660088062286377, 0.48919153213500977)","(0.49170467257499695, 0.48177316784858704)","(0.5682298541069031, 0.5899257659912109)","(0.4731786251068115, 0.5707962512969971)","(0.5758052468299866, 0.6824091672897339)","(0.4847792983055115, 0.632178783416748)"
41,"(0.5880081057548523, 0.2794831097126007)","(0.6086812019348145, 0.2743462026119232)","(0.5776746869087219, 0.2710917294025421)","(0.63025963306427, 0.29751700162887573)","(0.5667416453361511, 0.2846701443195343)","(0.6323645114898682, 0.3633750081062317)","(0.5242322087287903, 0.3215602934360504)","(0.6689516305923462, 0.43741101026535034)","(0.4513241946697235, 0.2706509530544281)","(0.6286903023719788, 0.41430383920669556)","(0.45558589696884155, 0.19467607140541077)","(0.5630700588226318, 0.49173232913017273)","(0.49191245436668396, 0.48230311274528503)","(0.568676233291626, 0.5899449586868286)","(0.4722135663032532, 0.5706450343132019)","(0.5764531493186951, 0.6825472116470337)","(0.4841098487377167, 0.6325263977050781)"
42,"(0.5941551923751831, 0.2822718322277069)","(0.6129348278045654, 0.27993008494377136)","(0.5851296186447144, 0.2744486331939697)","(0.631476640701294, 0.30056214332580566)","(0.5677682757377625, 0.2857581377029419)","(0.6307122707366943, 0.36975955963134766)","(0.529244601726532, 0.329469233751297)","(0.6636970639228821, 0.4400184750556946)","(0.4573323726654053, 0.27727359533309937)","(0.6290867924690247, 0.40821999311447144)","(0.45116230845451355, 0.20406442880630493)","(0.562120258808136, 0.4921233654022217)","(0.48867371678352356, 0.4826086461544037)","(0.5665460824966431, 0.5921716094017029)","(0.47373396158218384, 0.5733083486557007)","(0.5736215710639954, 0.6839306354522705)","(0.4838845431804657, 0.6331262588500977)"
43,"(0.6007162928581238, 0.2854651212692261)","(0.6188646554946899, 0.283283531665802)","(0.5898241996765137, 0.2779352068901062)","(0.6353079676628113, 0.30570223927497864)","(0.5678010582923889, 0.2926737070083618)","(0.6332917213439941, 0.37416553497314453)","(0.5328863263130188, 0.32926151156425476)","(0.6574274301528931, 0.44632312655448914)","(0.48732128739356995, 0.28308671712875366)","(0.6242855191230774, 0.4062066078186035)","(0.464834600687027, 0.20047490298748016)","(0.5648906230926514, 0.49499231576919556)","(0.49184009432792664, 0.4836393892765045)","(0.5665243268013, 0.5926119089126587)","(0.46974632143974304, 0.5776011943817139)","(0.5729987621307373, 0.6821809411048889)","(0.48192453384399414, 0.6359447240829468)"
44,"(0.6064092516899109, 0.28631049394607544)","(0.6245602369308472, 0.2858004570007324)","(0.5969820022583008, 0.27830836176872253)","(0.6376979351043701, 0.30936306715011597)","(0.5738088488578796, 0.29170161485671997)","(0.6332194209098816, 0.37290090322494507)","(0.5369354486465454, 0.32738935947418213)","(0.6558898091316223, 0.44336438179016113)","(0.4855372905731201, 0.2581261396408081)","(0.6189796924591064, 0.40224283933639526)","(0.4555216133594513, 0.20191754400730133)","(0.5610464811325073, 0.4952654540538788)","(0.4925882816314697, 0.4834965169429779)","(0.5682700872421265, 0.5951902270317078)","(0.47210660576820374, 0.5804025530815125)","(0.5723040103912354, 0.687223494052887)","(0.4803038239479065, 0.6345078945159912)"
45,"(0.6044148206710815, 0.29137247800827026)","(0.6227431893348694, 0.289016991853714)","(0.5956224799156189, 0.28257620334625244)","(0.6386187076568604, 0.3081231415271759)","(0.5703624486923218, 0.2936215102672577)","(0.6343628764152527, 0.37385910749435425)","(0.5375930070877075, 0.3329009413719177)","(0.6535748243331909, 0.4445551335811615)","(0.5147836208343506, 0.29042860865592957)","(0.6187781095504761, 0.3946472704410553)","(0.5121346712112427, 0.2645179331302643)","(0.5617520809173584, 0.4981316328048706)","(0.4926074147224426, 0.4868471920490265)","(0.5685585141181946, 0.5957217812538147)","(0.47254055738449097, 0.5836499333381653)","(0.5719302296638489, 0.6869493722915649)","(0.4787197709083557, 0.6345387101173401)"
46,"(0.6069329380989075, 0.29518944025039673)","(0.6256783604621887, 0.29163387417793274)","(0.596938967704773, 0.2858072519302368)","(0.6435658931732178, 0.3080413341522217)","(0.5770819187164307, 0.2938055396080017)","(0.6352255344390869, 0.3741040825843811)","(0.5382076501846313, 0.3353837728500366)","(0.6446493268013, 0.4457486569881439)","(0.5231049060821533, 0.39235711097717285)","(0.6103916168212891, 0.378665953874588)","(0.5589877963066101, 0.4006875157356262)","(0.5622327923774719, 0.4933922290802002)","(0.49045589566230774, 0.4809458255767822)","(0.5686168670654297, 0.5972806811332703)","(0.4595799446105957, 0.5758040547370911)","(0.5713663101196289, 0.6871055960655212)","(0.4753929674625397, 0.6361315846443176)"
47,"(0.6102436780929565, 0.2961747944355011)","(0.6293053030967712, 0.29177674651145935)","(0.6007745265960693, 0.28544244170188904)","(0.646821916103363, 0.30968162417411804)","(0.5824569463729858, 0.2935987412929535)","(0.6402175426483154, 0.3725956082344055)","(0.5407443046569824, 0.3345416486263275)","(0.6448858380317688, 0.44508159160614014)","(0.5265417695045471, 0.3959493339061737)","(0.6160010695457458, 0.3843511939048767)","(0.5774437785148621, 0.3932948410511017)","(0.5598267316818237, 0.4963904321193695)","(0.48826664686203003, 0.48461538553237915)","(0.5676150321960449, 0.5975261926651001)","(0.4596610963344574, 0.5756211280822754)","(0.5711238384246826, 0.6870287656784058)","(0.47320517897605896, 0.6365712881088257)"
48,"(0.613070547580719, 0.2970487177371979)","(0.6316549181938171, 0.2940092086791992)","(0.6034550666809082, 0.286861777305603)","(0.6486188173294067, 0.3098708987236023)","(0.5822317004203796, 0.2932293117046356)","(0.6394198536872864, 0.3716396987438202)","(0.5432605743408203, 0.33817943930625916)","(0.6451122760772705, 0.4437548518180847)","(0.5468175411224365, 0.4079853594303131)","(0.6247870922088623, 0.38471952080726624)","(0.5751385688781738, 0.4460163712501526)","(0.5557020902633667, 0.49644309282302856)","(0.48743706941604614, 0.48473984003067017)","(0.5680145621299744, 0.5973189473152161)","(0.45829373598098755, 0.5754462480545044)","(0.5713964700698853, 0.6871029138565063)","(0.46997663378715515, 0.6340117454528809)"
49,"(0.6153632998466492, 0.2982366681098938)","(0.6349141597747803, 0.29431307315826416)","(0.6052544116973877, 0.28752070665359497)","(0.6507682204246521, 0.31057894229888916)","(0.5852778553962708, 0.29508092999458313)","(0.648618757724762, 0.3686053454875946)","(0.5393024682998657, 0.34063220024108887)","(0.6462000608444214, 0.44009071588516235)","(0.563003420829773, 0.4252412021160126)","(0.6237561702728271, 0.37655895948410034)","(0.6069701910018921, 0.4863213896751404)","(0.5609934329986572, 0.4984235167503357)","(0.4879087805747986, 0.4873376190662384)","(0.5675039887428284, 0.6002833843231201)","(0.45608192682266235, 0.5775863528251648)","(0.5706660747528076, 0.6861706376075745)","(0.4689920246601105, 0.6346067786216736)"
