,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
37,"(0.5063626170158386, 0.3700611889362335)","(0.517402708530426, 0.3634285032749176)","(0.49932706356048584, 0.3629583716392517)","(0.5327169895172119, 0.36478427052497864)","(0.48759785294532776, 0.36406540870666504)","(0.5427370667457581, 0.39442333579063416)","(0.4733996093273163, 0.39187976717948914)","(0.5377945303916931, 0.43757665157318115)","(0.4335293471813202, 0.3627457916736603)","(0.5070942044258118, 0.4706806540489197)","(0.47628217935562134, 0.3549332022666931)","(0.523101270198822, 0.5006552338600159)","(0.4722927510738373, 0.5004897713661194)","(0.5233301520347595, 0.585716724395752)","(0.47807174921035767, 0.5876935720443726)","(0.5229970812797546, 0.6549208164215088)","(0.4888358414173126, 0.6350594758987427)"
38,"(0.5083349943161011, 0.37068474292755127)","(0.519527018070221, 0.36381447315216064)","(0.5018469095230103, 0.3631992042064667)","(0.5349172949790955, 0.36599376797676086)","(0.49038973450660706, 0.36367273330688477)","(0.5491566061973572, 0.3943141996860504)","(0.46883904933929443, 0.3885512351989746)","(0.5434985756874084, 0.43913009762763977)","(0.42623966932296753, 0.3530677258968353)","(0.513264000415802, 0.4719903767108917)","(0.47933363914489746, 0.34981971979141235)","(0.5250884890556335, 0.501105546951294)","(0.472533643245697, 0.49952200055122375)","(0.5233006477355957, 0.5855313539505005)","(0.48104238510131836, 0.5861431956291199)","(0.5219783782958984, 0.6547024250030518)","(0.48579517006874084, 0.6354079842567444)"
39,"(0.5095229744911194, 0.3712366819381714)","(0.520982563495636, 0.363890677690506)","(0.503252387046814, 0.36363422870635986)","(0.5358672142028809, 0.36502939462661743)","(0.49107739329338074, 0.3624890148639679)","(0.5523066520690918, 0.3947879672050476)","(0.4669722616672516, 0.38699570298194885)","(0.5494332909584045, 0.43587905168533325)","(0.4242972135543823, 0.349185585975647)","(0.5226977467536926, 0.47093337774276733)","(0.48145899176597595, 0.35342320799827576)","(0.5250822305679321, 0.500624418258667)","(0.47423863410949707, 0.4987429082393646)","(0.5242334008216858, 0.5854191780090332)","(0.48230624198913574, 0.5840292572975159)","(0.5224785804748535, 0.6537715196609497)","(0.4856513440608978, 0.636195182800293)"
40,"(0.5147461295127869, 0.3682824671268463)","(0.5264676809310913, 0.36187687516212463)","(0.5083511471748352, 0.3611139953136444)","(0.5392002463340759, 0.36594536900520325)","(0.49497753381729126, 0.362635999917984)","(0.5538682341575623, 0.39826419949531555)","(0.4724733531475067, 0.3896077573299408)","(0.5511476993560791, 0.44711238145828247)","(0.4233590066432953, 0.3491714298725128)","(0.5229694247245789, 0.4784950613975525)","(0.4771842062473297, 0.3532727360725403)","(0.5310394167900085, 0.5015859007835388)","(0.47753962874412537, 0.49961966276168823)","(0.5261833667755127, 0.5837931036949158)","(0.4845235347747803, 0.5844159722328186)","(0.5232309699058533, 0.6544062495231628)","(0.4853207767009735, 0.6389288306236267)"
41,"(0.5159270763397217, 0.3691696524620056)","(0.5269367098808289, 0.3629208505153656)","(0.5089826583862305, 0.36187508702278137)","(0.5419184565544128, 0.365962952375412)","(0.4984799027442932, 0.36214062571525574)","(0.5581520199775696, 0.3991915285587311)","(0.47430211305618286, 0.3863832652568817)","(0.5572077631950378, 0.4489186108112335)","(0.4212486147880554, 0.343321293592453)","(0.529883861541748, 0.4813905954360962)","(0.4852985143661499, 0.34484314918518066)","(0.5305290222167969, 0.4999963939189911)","(0.47813284397125244, 0.4977995753288269)","(0.525493323802948, 0.5847640633583069)","(0.48670369386672974, 0.5844265818595886)","(0.5226709842681885, 0.6540422439575195)","(0.4844694137573242, 0.6412338018417358)"
42,"(0.5172524452209473, 0.36946603655815125)","(0.5292086005210876, 0.3622067868709564)","(0.5116240382194519, 0.3612598776817322)","(0.5434786081314087, 0.36506834626197815)","(0.5004832148551941, 0.36111754179000854)","(0.5611357688903809, 0.3997870087623596)","(0.47335517406463623, 0.3842281103134155)","(0.5563470721244812, 0.4505838453769684)","(0.41970378160476685, 0.33997970819473267)","(0.5349034070968628, 0.4853260815143585)","(0.4846164882183075, 0.3444032073020935)","(0.5332816243171692, 0.4987596869468689)","(0.4808811545372009, 0.4969419240951538)","(0.525975227355957, 0.5844891667366028)","(0.4882936179637909, 0.5845202803611755)","(0.5233083367347717, 0.654026448726654)","(0.4839284121990204, 0.6406378746032715)"
43,"(0.5218309164047241, 0.36783039569854736)","(0.5334302186965942, 0.36034002900123596)","(0.5146818161010742, 0.3596780002117157)","(0.5467955470085144, 0.36508435010910034)","(0.5027452111244202, 0.36171954870224)","(0.5632500052452087, 0.40223631262779236)","(0.47560545802116394, 0.385419636964798)","(0.5628561973571777, 0.45273491740226746)","(0.42131027579307556, 0.33705568313598633)","(0.5437751412391663, 0.49030885100364685)","(0.48586568236351013, 0.3341146409511566)","(0.533330500125885, 0.5003031492233276)","(0.4832250475883484, 0.4973256587982178)","(0.5275745391845703, 0.5828424096107483)","(0.4909575879573822, 0.5834012031555176)","(0.5222546458244324, 0.6524285674095154)","(0.4834043085575104, 0.6406089663505554)"
44,"(0.5235025882720947, 0.3676672875881195)","(0.5348840951919556, 0.36050429940223694)","(0.5158544778823853, 0.3594103157520294)","(0.5471571087837219, 0.36513397097587585)","(0.5041018724441528, 0.3614409267902374)","(0.5634765028953552, 0.4015767574310303)","(0.4769737422466278, 0.38582372665405273)","(0.5638955235481262, 0.4515327513217926)","(0.4240441918373108, 0.33928731083869934)","(0.5491904020309448, 0.49401411414146423)","(0.46961840987205505, 0.33296477794647217)","(0.5318533182144165, 0.49927422404289246)","(0.48334622383117676, 0.4970255196094513)","(0.5272936820983887, 0.5821461081504822)","(0.4920154809951782, 0.5828275680541992)","(0.5224165916442871, 0.6521807909011841)","(0.48301395773887634, 0.6397245526313782)"
45,"(0.5223618149757385, 0.3655451834201813)","(0.5344594120979309, 0.35905903577804565)","(0.5146521925926208, 0.35725095868110657)","(0.5469858050346375, 0.3645872175693512)","(0.504102885723114, 0.3597199320793152)","(0.5648312568664551, 0.402138352394104)","(0.4790613055229187, 0.3846189081668854)","(0.563697338104248, 0.45327848196029663)","(0.4271788001060486, 0.33662816882133484)","(0.5517792105674744, 0.4958682358264923)","(0.47017717361450195, 0.3187645673751831)","(0.5325133204460144, 0.49939820170402527)","(0.48318198323249817, 0.4964422285556793)","(0.5271804332733154, 0.5822917819023132)","(0.4920139014720917, 0.5844331979751587)","(0.5217089653015137, 0.6518538594245911)","(0.4818926453590393, 0.6399422883987427)"
46,"(0.52588951587677, 0.3652818500995636)","(0.5363095998764038, 0.35884514451026917)","(0.5176845192909241, 0.3567301034927368)","(0.5481858253479004, 0.3640194833278656)","(0.5069156289100647, 0.36023184657096863)","(0.5649745464324951, 0.4026382565498352)","(0.48039156198501587, 0.3832530379295349)","(0.5629855990409851, 0.4531559348106384)","(0.43609893321990967, 0.34566202759742737)","(0.5573225617408752, 0.4985913336277008)","(0.45178571343421936, 0.3189607560634613)","(0.5323953032493591, 0.498270720243454)","(0.4839172661304474, 0.4955745339393616)","(0.5269070267677307, 0.5819191336631775)","(0.492297500371933, 0.5841899514198303)","(0.5210878849029541, 0.6522316336631775)","(0.48067140579223633, 0.6398841738700867)"
