,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
53,"(0.5493777990341187, 0.33372074365615845)","(0.5602964162826538, 0.32801613211631775)","(0.5419704914093018, 0.32473042607307434)","(0.5708224773406982, 0.3343348205089569)","(0.5275670289993286, 0.32687997817993164)","(0.5790456533432007, 0.37505221366882324)","(0.5014269948005676, 0.3473894000053406)","(0.5673263072967529, 0.42596858739852905)","(0.4738132953643799, 0.3080088496208191)","(0.5562346577644348, 0.47258490324020386)","(0.5000007748603821, 0.2607783079147339)","(0.5319158434867859, 0.4609411060810089)","(0.48261559009552, 0.4536358714103699)","(0.5323113203048706, 0.5427612066268921)","(0.4913719594478607, 0.5458373427391052)","(0.5268882513046265, 0.603197455406189)","(0.4848940670490265, 0.621060311794281)"
54,"(0.550161600112915, 0.33428388833999634)","(0.560612142086029, 0.3284114599227905)","(0.5413135886192322, 0.3264572024345398)","(0.569882333278656, 0.3335043489933014)","(0.5261965394020081, 0.32970359921455383)","(0.5763108730316162, 0.373696893453598)","(0.5016592144966125, 0.34777143597602844)","(0.5676409006118774, 0.4261844754219055)","(0.4755471348762512, 0.3061521649360657)","(0.5573099851608276, 0.4730890095233917)","(0.4950607120990753, 0.2589024007320404)","(0.5313537120819092, 0.46129676699638367)","(0.4834745526313782, 0.45404091477394104)","(0.533240556716919, 0.5443888306617737)","(0.4907969832420349, 0.5463218092918396)","(0.527506411075592, 0.6039437651634216)","(0.4859946668148041, 0.6193018555641174)"
55,"(0.5494117140769958, 0.3339338004589081)","(0.5594362616539001, 0.3277894854545593)","(0.5407698154449463, 0.32602232694625854)","(0.5690131783485413, 0.3328601121902466)","(0.5256279110908508, 0.33060285449028015)","(0.575062096118927, 0.3746531307697296)","(0.5015830397605896, 0.3496111333370209)","(0.566125214099884, 0.4243272542953491)","(0.4819785952568054, 0.3052464425563812)","(0.5607416033744812, 0.4710215628147125)","(0.4958118498325348, 0.2646118104457855)","(0.530545175075531, 0.4612298011779785)","(0.48328298330307007, 0.45378029346466064)","(0.5328283309936523, 0.5460032224655151)","(0.49163347482681274, 0.5478516221046448)","(0.527930736541748, 0.6039979457855225)","(0.4872272312641144, 0.6191017031669617)"
56,"(0.5471386909484863, 0.33541280031204224)","(0.557545006275177, 0.32961076498031616)","(0.5392370820045471, 0.3271081745624542)","(0.5661898255348206, 0.33484163880348206)","(0.5226788520812988, 0.32963958382606506)","(0.5730658173561096, 0.3758760988712311)","(0.5007259845733643, 0.34981977939605713)","(0.5639283657073975, 0.42551615834236145)","(0.4970335364341736, 0.3208460807800293)","(0.5588324069976807, 0.47892534732818604)","(0.49682608246803284, 0.2723466455936432)","(0.5308573842048645, 0.46295350790023804)","(0.48313236236572266, 0.45570018887519836)","(0.5316470861434937, 0.5472759008407593)","(0.4925426244735718, 0.5494571924209595)","(0.5217503309249878, 0.6018885374069214)","(0.4864051342010498, 0.6213495135307312)"
57,"(0.5458582043647766, 0.3358194828033447)","(0.556833803653717, 0.329640656709671)","(0.5378286242485046, 0.3269289433956146)","(0.5662536025047302, 0.3349899649620056)","(0.5220151543617249, 0.3299449682235718)","(0.5710553526878357, 0.3758307993412018)","(0.5002641081809998, 0.3511591851711273)","(0.5616709589958191, 0.4266190528869629)","(0.4975735545158386, 0.3181309998035431)","(0.560843825340271, 0.47789883613586426)","(0.4998803734779358, 0.27710577845573425)","(0.529867947101593, 0.46379977464675903)","(0.4810538589954376, 0.4561900496482849)","(0.5318647623062134, 0.5503000020980835)","(0.49121955037117004, 0.5501338243484497)","(0.5218181014060974, 0.6027570962905884)","(0.4870615303516388, 0.6222304701805115)"
58,"(0.545082151889801, 0.3363341987133026)","(0.5548592805862427, 0.32974815368652344)","(0.5372784733772278, 0.3271939158439636)","(0.5649248361587524, 0.3349612355232239)","(0.5212444067001343, 0.3302260935306549)","(0.5681064128875732, 0.37627938389778137)","(0.5008079409599304, 0.35557642579078674)","(0.5577212572097778, 0.4284267723560333)","(0.4938983619213104, 0.33670324087142944)","(0.5625823736190796, 0.48068273067474365)","(0.5021131038665771, 0.3107638359069824)","(0.5308142900466919, 0.4675709903240204)","(0.48088014125823975, 0.46040239930152893)","(0.5319831967353821, 0.5523477792739868)","(0.4933314025402069, 0.5538857579231262)","(0.5225279331207275, 0.6018051505088806)","(0.4879770874977112, 0.6238989233970642)"
59,"(0.5429487228393555, 0.3351379334926605)","(0.5529635548591614, 0.3295329809188843)","(0.5367404222488403, 0.32716402411460876)","(0.5628618001937866, 0.3361371159553528)","(0.5228256583213806, 0.3303571343421936)","(0.5681701898574829, 0.37768861651420593)","(0.49977821111679077, 0.35586410760879517)","(0.5563984513282776, 0.42700064182281494)","(0.4923897981643677, 0.3352639973163605)","(0.5628741979598999, 0.4791592061519623)","(0.5097192525863647, 0.31687942147254944)","(0.5296999216079712, 0.46957454085350037)","(0.4828113913536072, 0.46391475200653076)","(0.5313789248466492, 0.5520285367965698)","(0.49401918053627014, 0.5537506341934204)","(0.5195005536079407, 0.6019275188446045)","(0.4868556261062622, 0.6227508783340454)"
60,"(0.5430850386619568, 0.33495962619781494)","(0.5523977279663086, 0.3295368254184723)","(0.5356875061988831, 0.3268258273601532)","(0.5627639889717102, 0.33472317457199097)","(0.5222665667533875, 0.32898831367492676)","(0.5659830570220947, 0.37474513053894043)","(0.4981495440006256, 0.35552752017974854)","(0.5553879141807556, 0.4251662492752075)","(0.49376577138900757, 0.3547510802745819)","(0.563152551651001, 0.4781225621700287)","(0.5059921145439148, 0.33396896719932556)","(0.5308066010475159, 0.46904826164245605)","(0.48682913184165955, 0.4641968905925751)","(0.5318273305892944, 0.5507339239120483)","(0.4940263330936432, 0.5525636672973633)","(0.5185983777046204, 0.6018323302268982)","(0.4867279529571533, 0.6231011748313904)"
61,"(0.5408721566200256, 0.3345308005809784)","(0.5513036847114563, 0.32908895611763)","(0.5328499674797058, 0.3267497420310974)","(0.5587876439094543, 0.33557337522506714)","(0.5164687633514404, 0.3292393088340759)","(0.5641316771507263, 0.374409943819046)","(0.4985085129737854, 0.346998929977417)","(0.555387556552887, 0.4243006110191345)","(0.5130751729011536, 0.37652871012687683)","(0.5641536712646484, 0.47795772552490234)","(0.5363083481788635, 0.36599001288414)","(0.5325583815574646, 0.4670425057411194)","(0.4866553246974945, 0.4623177945613861)","(0.5326119065284729, 0.5515936613082886)","(0.4953826665878296, 0.5534386038780212)","(0.5161405205726624, 0.6005149483680725)","(0.487015962600708, 0.6226712465286255)"
62,"(0.542677104473114, 0.3358490765094757)","(0.5521702766418457, 0.32947298884391785)","(0.5340175032615662, 0.3273472189903259)","(0.560113787651062, 0.33426257967948914)","(0.5194057822227478, 0.3299614489078522)","(0.562267541885376, 0.3748254179954529)","(0.49955421686172485, 0.3476245701313019)","(0.5544822812080383, 0.4255709648132324)","(0.5054329037666321, 0.3930143117904663)","(0.5656497478485107, 0.4787778854370117)","(0.5292362570762634, 0.38517680764198303)","(0.5293608903884888, 0.4658372104167938)","(0.4839872717857361, 0.46148231625556946)","(0.5332167148590088, 0.5498837232589722)","(0.4961891174316406, 0.5521130561828613)","(0.5182873010635376, 0.6023246645927429)","(0.48831287026405334, 0.6212923526763916)"
