,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
58,"(0.5466826558113098, 0.32505667209625244)","(0.5575733780860901, 0.3188495934009552)","(0.5379741191864014, 0.31665676832199097)","(0.5683074593544006, 0.3269123435020447)","(0.525551438331604, 0.3220219016075134)","(0.5806468725204468, 0.36849483847618103)","(0.49878033995628357, 0.34343263506889343)","(0.5749997496604919, 0.4175746440887451)","(0.4664870798587799, 0.2931383550167084)","(0.5812816619873047, 0.47034674882888794)","(0.47233137488365173, 0.2417372763156891)","(0.5364360213279724, 0.46249350905418396)","(0.49039241671562195, 0.4547366797924042)","(0.5223072171211243, 0.5468183159828186)","(0.48717495799064636, 0.5445404648780823)","(0.5085195899009705, 0.6110977530479431)","(0.4669792652130127, 0.5878006219863892)"
59,"(0.5475049614906311, 0.32558292150497437)","(0.5581954717636108, 0.3192692697048187)","(0.5399844646453857, 0.31731468439102173)","(0.5692493915557861, 0.3246542513370514)","(0.5255119800567627, 0.3208554685115814)","(0.5767900943756104, 0.36814382672309875)","(0.5008199214935303, 0.34223672747612)","(0.5744707584381104, 0.4168539345264435)","(0.46649327874183655, 0.2928767800331116)","(0.5860344171524048, 0.4714452624320984)","(0.4725568890571594, 0.24114450812339783)","(0.5385076999664307, 0.4632088840007782)","(0.49074843525886536, 0.457684189081192)","(0.5231238603591919, 0.5505607724189758)","(0.4840362071990967, 0.5460088849067688)","(0.5063097476959229, 0.6171832084655762)","(0.4650352895259857, 0.5891776084899902)"
60,"(0.5481992363929749, 0.3248918354511261)","(0.5583378672599792, 0.3189418315887451)","(0.5400804281234741, 0.3173498213291168)","(0.5692006349563599, 0.32447361946105957)","(0.5242406725883484, 0.32187098264694214)","(0.5757864713668823, 0.3690488040447235)","(0.5014013051986694, 0.3451170325279236)","(0.5749183893203735, 0.4222758114337921)","(0.47829389572143555, 0.293306440114975)","(0.5882587432861328, 0.4711734354496002)","(0.47596409916877747, 0.24482248723506927)","(0.5385321378707886, 0.46314871311187744)","(0.49171990156173706, 0.45849722623825073)","(0.5242663025856018, 0.5509871244430542)","(0.4854378402233124, 0.5479338765144348)","(0.5061829090118408, 0.6160098910331726)","(0.46438363194465637, 0.5941365361213684)"
61,"(0.5473043322563171, 0.3273363709449768)","(0.5580277442932129, 0.3212653696537018)","(0.5409066081047058, 0.319515198469162)","(0.5683245062828064, 0.32539045810699463)","(0.5243034362792969, 0.32217341661453247)","(0.5732298493385315, 0.37109309434890747)","(0.5054876208305359, 0.34595227241516113)","(0.5740284323692322, 0.41745033860206604)","(0.4959360361099243, 0.3234928548336029)","(0.5914598703384399, 0.47097957134246826)","(0.4795168340206146, 0.2610418200492859)","(0.5372828245162964, 0.4649003744125366)","(0.4919466972351074, 0.4592575132846832)","(0.5245732665061951, 0.5515792965888977)","(0.48620980978012085, 0.5474289655685425)","(0.5067000985145569, 0.6182677745819092)","(0.4648904800415039, 0.5916131734848022)"
62,"(0.5462226867675781, 0.32615870237350464)","(0.5569038391113281, 0.3195805251598358)","(0.5378357768058777, 0.3176414966583252)","(0.5688304305076599, 0.32584747672080994)","(0.5256743431091309, 0.322416216135025)","(0.577744722366333, 0.36872386932373047)","(0.5051068663597107, 0.34079352021217346)","(0.5734131932258606, 0.4170569181442261)","(0.48973414301872253, 0.3011218011379242)","(0.5906417965888977, 0.4671855866909027)","(0.4828372299671173, 0.26561132073402405)","(0.5402225852012634, 0.4647059440612793)","(0.4929552674293518, 0.4568912386894226)","(0.5236040949821472, 0.5488705039024353)","(0.4869652986526489, 0.5471063852310181)","(0.5092958211898804, 0.616824746131897)","(0.4661094546318054, 0.5909823775291443)"
63,"(0.54665207862854, 0.3262496590614319)","(0.5570166110992432, 0.3191055357456207)","(0.538953423500061, 0.3179205060005188)","(0.5681335926055908, 0.32548704743385315)","(0.526037335395813, 0.3222607374191284)","(0.5767874717712402, 0.36792832612991333)","(0.502748966217041, 0.3436812162399292)","(0.5737894177436829, 0.4161209762096405)","(0.4936407804489136, 0.3140355944633484)","(0.5914100408554077, 0.4643038213253021)","(0.4966199994087219, 0.2904084026813507)","(0.5383896231651306, 0.4619866907596588)","(0.4921611547470093, 0.45485806465148926)","(0.5227611064910889, 0.5493753552436829)","(0.48717597126960754, 0.544747531414032)","(0.5092355012893677, 0.6154757738113403)","(0.4677611291408539, 0.5868949294090271)"
64,"(0.5469607710838318, 0.3253293037414551)","(0.5574467778205872, 0.319503515958786)","(0.539609968662262, 0.31765806674957275)","(0.5671834945678711, 0.32628217339515686)","(0.5252007246017456, 0.32159358263015747)","(0.5751088857650757, 0.3653748333454132)","(0.5033349394798279, 0.34591153264045715)","(0.5758160948753357, 0.41578856110572815)","(0.4961271286010742, 0.31406277418136597)","(0.5895341038703918, 0.4643692970275879)","(0.5053434371948242, 0.29977044463157654)","(0.5386431217193604, 0.458549439907074)","(0.4926128089427948, 0.4523219168186188)","(0.5226753354072571, 0.5490658283233643)","(0.48916134238243103, 0.544564425945282)","(0.5089151859283447, 0.6156967878341675)","(0.4670151472091675, 0.5874226689338684)"
65,"(0.5453789830207825, 0.3261806070804596)","(0.5557405352592468, 0.3198660612106323)","(0.5372553467750549, 0.3179864287376404)","(0.5656895637512207, 0.3268734812736511)","(0.5240759253501892, 0.321807861328125)","(0.5725129246711731, 0.36721086502075195)","(0.5060651302337646, 0.348358154296875)","(0.5732901096343994, 0.41493645310401917)","(0.5015918016433716, 0.33555564284324646)","(0.5875505805015564, 0.46422383189201355)","(0.51678466796875, 0.345285564661026)","(0.5375002026557922, 0.4583195149898529)","(0.49100977182388306, 0.45162370800971985)","(0.5205650925636292, 0.5487833023071289)","(0.4861941337585449, 0.5462374091148376)","(0.5068010687828064, 0.6168625950813293)","(0.46572643518447876, 0.5863174796104431)"
66,"(0.5464991927146912, 0.3263273239135742)","(0.556433916091919, 0.32033413648605347)","(0.5374900698661804, 0.31871479749679565)","(0.5663262009620667, 0.3263026475906372)","(0.5238897204399109, 0.32255834341049194)","(0.5723910331726074, 0.36660319566726685)","(0.5034830570220947, 0.33873382210731506)","(0.5707135796546936, 0.4130702316761017)","(0.5113346576690674, 0.3736988306045532)","(0.5811728239059448, 0.4598054587841034)","(0.5408352613449097, 0.36813580989837646)","(0.5361371040344238, 0.4567633867263794)","(0.489010214805603, 0.4505501091480255)","(0.5201980471611023, 0.5469327569007874)","(0.48705893754959106, 0.545524001121521)","(0.5065209269523621, 0.6181200742721558)","(0.4645911157131195, 0.5880521535873413)"
67,"(0.5459703207015991, 0.3283703923225403)","(0.5562136769294739, 0.3225189745426178)","(0.5363247394561768, 0.32060506939888)","(0.5660073161125183, 0.32944390177726746)","(0.5219785571098328, 0.3252287805080414)","(0.5714039206504822, 0.3678576648235321)","(0.5008254647254944, 0.34288734197616577)","(0.568379282951355, 0.4134591221809387)","(0.5188207626342773, 0.3863646686077118)","(0.5788711309432983, 0.45771175622940063)","(0.5407437682151794, 0.38723763823509216)","(0.5325826406478882, 0.4602479040622711)","(0.4857522249221802, 0.4541720449924469)","(0.5188798904418945, 0.5475549697875977)","(0.48431941866874695, 0.5448464751243591)","(0.5057899951934814, 0.6198856234550476)","(0.4633927345275879, 0.588042140007019)"
68,"(0.546273410320282, 0.33049044013023376)","(0.5562363862991333, 0.32464173436164856)","(0.537250280380249, 0.3230057656764984)","(0.5669154524803162, 0.33079102635383606)","(0.522355854511261, 0.3272920846939087)","(0.5706724524497986, 0.36830082535743713)","(0.5026012659072876, 0.3494739234447479)","(0.5672107934951782, 0.4131394028663635)","(0.5117539167404175, 0.39003053307533264)","(0.5736973881721497, 0.45792222023010254)","(0.5340566039085388, 0.4116048812866211)","(0.5326459407806396, 0.4638036787509918)","(0.4851566255092621, 0.4578765034675598)","(0.5176592469215393, 0.5493348836898804)","(0.4814836084842682, 0.5478147864341736)","(0.504422128200531, 0.6194651126861572)","(0.4609730839729309, 0.5909613966941833)"
69,"(0.5462890863418579, 0.32864415645599365)","(0.5567797422409058, 0.32329457998275757)","(0.5368601679801941, 0.3217364251613617)","(0.5680975914001465, 0.3307819068431854)","(0.5228551030158997, 0.3276304602622986)","(0.5706615447998047, 0.36947035789489746)","(0.5029853582382202, 0.3480551838874817)","(0.5672857761383057, 0.4160062372684479)","(0.5065901279449463, 0.39233824610710144)","(0.5715746283531189, 0.4568028748035431)","(0.5360848307609558, 0.4311985969543457)","(0.5336227416992188, 0.46580421924591064)","(0.48559361696243286, 0.45927736163139343)","(0.5182727575302124, 0.5517972707748413)","(0.48045483231544495, 0.549927294254303)","(0.50425124168396, 0.619303286075592)","(0.46221858263015747, 0.5890595316886902)"
70,"(0.5481801629066467, 0.32860246300697327)","(0.558424174785614, 0.3231370449066162)","(0.5389307141304016, 0.3219479024410248)","(0.5703954100608826, 0.3307972252368927)","(0.5238358378410339, 0.3276905119419098)","(0.5730358958244324, 0.36933544278144836)","(0.5049917101860046, 0.35009923577308655)","(0.567183792591095, 0.4174825847148895)","(0.5080353617668152, 0.4008484482765198)","(0.567316472530365, 0.4465610086917877)","(0.5458267331123352, 0.4366985559463501)","(0.5312449336051941, 0.4698652923107147)","(0.4843912422657013, 0.4625089466571808)","(0.5164401531219482, 0.5521965622901917)","(0.4802875518798828, 0.5478687882423401)","(0.5044873356819153, 0.6186749935150146)","(0.462789386510849, 0.5907337069511414)"
71,"(0.5484243035316467, 0.3288853168487549)","(0.5593267679214478, 0.32404088973999023)","(0.5390517711639404, 0.321702778339386)","(0.5701157450675964, 0.3323519229888916)","(0.5233443379402161, 0.3273499310016632)","(0.5722533464431763, 0.3701182007789612)","(0.5053380131721497, 0.3527697026729584)","(0.5661254525184631, 0.415893018245697)","(0.5090724229812622, 0.408944308757782)","(0.5656511187553406, 0.45160233974456787)","(0.5453080534934998, 0.4477160573005676)","(0.527958869934082, 0.4714505672454834)","(0.4819352626800537, 0.4643222689628601)","(0.5160900354385376, 0.5526224374771118)","(0.47871455550193787, 0.5493035912513733)","(0.5039661526679993, 0.6187765002250671)","(0.4615694582462311, 0.5906180143356323)"
72,"(0.549180269241333, 0.3291308581829071)","(0.5596145987510681, 0.323316752910614)","(0.5391240119934082, 0.3221619129180908)","(0.570696234703064, 0.33201366662979126)","(0.523987889289856, 0.3284553587436676)","(0.5730246901512146, 0.3710280954837799)","(0.5025207996368408, 0.356685996055603)","(0.5644423365592957, 0.41803717613220215)","(0.5101417899131775, 0.41737863421440125)","(0.5613797307014465, 0.4559851586818695)","(0.5484949946403503, 0.45483607053756714)","(0.5288353562355042, 0.4726254343986511)","(0.48118534684181213, 0.4679037034511566)","(0.5156835913658142, 0.5523989200592041)","(0.47772443294525146, 0.55079585313797)","(0.5035827159881592, 0.6183341145515442)","(0.46088388562202454, 0.5924158096313477)"
73,"(0.5495718717575073, 0.33097589015960693)","(0.5603665113449097, 0.3246338665485382)","(0.5400313138961792, 0.3233196437358856)","(0.5711888074874878, 0.33135196566581726)","(0.5248079895973206, 0.32840532064437866)","(0.5725482106208801, 0.3693770170211792)","(0.501178503036499, 0.35989856719970703)","(0.5627232193946838, 0.41577091813087463)","(0.5105516910552979, 0.4248575270175934)","(0.5588897466659546, 0.4633004367351532)","(0.5485299825668335, 0.4645583927631378)","(0.5295242071151733, 0.47484511137008667)","(0.48162782192230225, 0.4702949821949005)","(0.5156763792037964, 0.5533828735351562)","(0.4767695367336273, 0.551410973072052)","(0.5037872791290283, 0.6175980567932129)","(0.460191011428833, 0.5917852520942688)"
74,"(0.5501778721809387, 0.3301846981048584)","(0.5609230995178223, 0.32326310873031616)","(0.5406688451766968, 0.32238397002220154)","(0.5717601776123047, 0.3301191031932831)","(0.5257397294044495, 0.32821232080459595)","(0.5735192894935608, 0.3691326379776001)","(0.5010154843330383, 0.3608365058898926)","(0.5598952770233154, 0.41812458634376526)","(0.511543869972229, 0.4259525537490845)","(0.5592355728149414, 0.4637584686279297)","(0.5515708327293396, 0.4657720625400543)","(0.52949458360672, 0.47576430439949036)","(0.48089098930358887, 0.46992191672325134)","(0.5157070755958557, 0.5533461570739746)","(0.4782971143722534, 0.5506895780563354)","(0.5028102993965149, 0.6171595454216003)","(0.4598282277584076, 0.5899649262428284)"
75,"(0.5504993200302124, 0.32982635498046875)","(0.5612382292747498, 0.32315510511398315)","(0.5413028001785278, 0.32201042771339417)","(0.5725290179252625, 0.3287932574748993)","(0.5271000266075134, 0.32713985443115234)","(0.5739465951919556, 0.36817336082458496)","(0.5016258358955383, 0.3623928427696228)","(0.5581287145614624, 0.41945523023605347)","(0.5123377442359924, 0.4277840554714203)","(0.5597251653671265, 0.46691370010375977)","(0.5486114621162415, 0.4674215614795685)","(0.5305666327476501, 0.4753831624984741)","(0.4832925498485565, 0.4695013165473938)","(0.5155726075172424, 0.5508378148078918)","(0.4800666272640228, 0.5499953031539917)","(0.5031986236572266, 0.6158332824707031)","(0.46036359667778015, 0.5906229615211487)"
76,"(0.5514439344406128, 0.3301808536052704)","(0.5618162751197815, 0.3236915171146393)","(0.5422574281692505, 0.3222249150276184)","(0.5720067620277405, 0.3285788893699646)","(0.5263335704803467, 0.32682517170906067)","(0.5745728611946106, 0.36823612451553345)","(0.5004077553749084, 0.3643559217453003)","(0.5572603940963745, 0.41923975944519043)","(0.5136436820030212, 0.43022388219833374)","(0.558989405632019, 0.4675282835960388)","(0.5493950247764587, 0.4677106738090515)","(0.5307959318161011, 0.4757115840911865)","(0.48202580213546753, 0.4694828391075134)","(0.515242874622345, 0.5513970851898193)","(0.4805920422077179, 0.5491423010826111)","(0.5039182901382446, 0.6161261200904846)","(0.46021994948387146, 0.5891686081886292)"
77,"(0.5521532893180847, 0.3306078612804413)","(0.5625574588775635, 0.3233675956726074)","(0.5425141453742981, 0.3223297894001007)","(0.5714472532272339, 0.32997050881385803)","(0.5265463590621948, 0.3277011513710022)","(0.5747085213661194, 0.3690504729747772)","(0.5004621148109436, 0.3653269410133362)","(0.5540115833282471, 0.42000195384025574)","(0.5124223828315735, 0.4311921000480652)","(0.5562102198600769, 0.4667832851409912)","(0.5490466952323914, 0.4675956666469574)","(0.5300766229629517, 0.475729763507843)","(0.4819028079509735, 0.4694807827472687)","(0.5156220197677612, 0.5511359572410583)","(0.47884589433670044, 0.5493381023406982)","(0.504367470741272, 0.6155595779418945)","(0.4611548185348511, 0.5888506174087524)"
78,"(0.5520749688148499, 0.3314652144908905)","(0.562677800655365, 0.32434016466140747)","(0.5426823496818542, 0.323102742433548)","(0.572104275226593, 0.3306281566619873)","(0.5264712572097778, 0.3282027542591095)","(0.5728378891944885, 0.36912107467651367)","(0.4996119439601898, 0.3678164482116699)","(0.5520671010017395, 0.4194764494895935)","(0.5119433403015137, 0.43257880210876465)","(0.5566682815551758, 0.4654293656349182)","(0.5496442317962646, 0.4670853316783905)","(0.5296597480773926, 0.4749663770198822)","(0.48213714361190796, 0.4688132405281067)","(0.5161259174346924, 0.5513012409210205)","(0.47998854517936707, 0.5497980117797852)","(0.5044512748718262, 0.6156741380691528)","(0.46103382110595703, 0.589183509349823)"
