StartFrame,EndFrame,PersonID,ShotName,ShotNum,range_AccelerationX,range_AccelerationY,range_AccelerationZ,range_RRX,range_RRY,range_RRZ,min_AccelerationX,min_AccelerationY,min_AccelerationZ,min_RRX,min_RRY,min_RRZ,max_AccelerationX,max_AccelerationY,max_AccelerationZ,max_RRX,max_RRY,max_RRZ,avg_AccelerationX,avg_AccelerationY,avg_AccelerationZ,avg_RRX,avg_RRY,avg_RRZ,absavg_AccelerationX,absavg_AccelerationY,absavg_AccelerationZ,absavg_RRX,absavg_RRY,absavg_RRZ,kurtosis_f_AccelerationX,kurtosis_f_AccelerationY,kurtosis_f_AccelerationZ,kurtosis_f_RRX,kurtosis_f_RRY,kurtosis_f_RRZ,kurtosis_p_AccelerationX,kurtosis_p_AccelerationY,kurtosis_p_AccelerationZ,kurtosis_p_RRX,kurtosis_p_RRY,kurtosis_p_RRZ,skewness_statistic_AccelerationX,skewness_statistic_AccelerationY,skewness_statistic_AccelerationZ,skewness_statistic_RRX,skewness_statistic_RRY,skewness_statistic_RRZ,skewness_pvalue_AccelerationX,skewness_pvalue_AccelerationY,skewness_pvalue_AccelerationZ,skewness_pvalue_RRX,skewness_pvalue_RRY,skewness_pvalue_RRZ,std_AccelerationX,std_AccelerationY,std_AccelerationZ,std_RRX,std_RRY,std_RRZ,anglebetween_AccelerationX_AccelerationY,anglebetween_AccelerationX_AccelerationZ,anglebetween_AccelerationX_RRX,anglebetween_AccelerationX_RRY,anglebetween_AccelerationX_RRZ,anglebetween_AccelerationY_AccelerationZ,anglebetween_AccelerationY_RRX,anglebetween_AccelerationY_RRY,anglebetween_AccelerationY_RRZ,anglebetween_AccelerationZ_RRX,anglebetween_AccelerationZ_RRY,anglebetween_AccelerationZ_RRZ,anglebetween_RRX_RRY,anglebetween_RRX_RRZ,anglebetween_RRY_RRZ,iqr_AccelerationX,iqr_AccelerationY,iqr_AccelerationZ,iqr_RRX,iqr_RRY,iqr_RRZ,maxmin_relative_pos_AccelerationX,maxmin_relative_pos_AccelerationY,maxmin_relative_pos_AccelerationZ,maxmin_relative_pos_RRX,maxmin_relative_pos_RRY,maxmin_relative_pos_RRZ
448,478,c,fh,01,19.913632571697235,18.26673698425293,14.72632694244385,2540.3497444932277,2839.0191636892782,2036.6503407539012,-19.67246437072754,-8.353693008422852,-5.508950233459473,-1289.9544443848106,-1911.0213599535357,-1571.082954245028,0.241168200969696,9.913043975830078,9.217376708984377,1250.3953001084171,927.9978037357427,465.5673865088731,-5.076677723725637,1.1474713797370593,1.0790175606807073,58.06327272986398,-117.9314698769953,-59.625366704368815,5.09744191567103,2.3582175418734552,2.942600084344546,355.7742923035916,507.846876087177,387.3581506000209,1.2326643031735864,2.3364269471701116,-0.48968990266815915,1.3528429431220657,0.5278638467956451,1.24726536078634,4.232664303173586,5.336426947170112,2.510310097331841,4.352842943122066,3.527863846795645,4.24726536078634,-3.2308843641187193,0.9492491429346913,1.3888211061439741,-0.7075580405853318,-1.4398020343781655,-3.304062036894763,0.0012340785536311544,0.3424939127618386,0.16488715553628464,0.4792197574433624,0.14992341547218163,0.0009529474226980349,5.35750647399977,3.3252571388682868,3.726054206407343,477.7262965341399,645.3083144226359,545.307807833295,2.2067397444067636,1.8762348468816832,1.9412777247937885,0.8264186600324601,1.2477005555155258,1.4861781250162056,1.0240988663062018,2.0334675966007683,1.6420162342242643,1.7045190103143262,1.7178344182223453,2.2090424365337205,1.8366202004155694,1.4262809216242907,1.3347530732441617,3.968124508857727,2.2112002819776535,5.108817011117935,513.2923941833262,786.9373219020544,420.4854024960263,-16,-3,-1,3,-8,7
1032,1062,c,fh,01,23.655461251735687,15.52554178237915,13.114827632904055,1618.0450946759875,2875.250311952961,1682.733515776855,-23.13945770263672,-2.7050986289978027,-3.265079975128174,-1005.9827180184138,-1806.0765415450435,-1421.840260955501,0.5160035490989685,12.820443153381348,9.84974765777588,612.0623766575737,1069.1737704079178,260.893254821354,-4.2755393187205,1.4865158418814342,1.5256048689285915,-8.222011964201352,-119.99710232673334,-99.75659578664772,4.420642852783203,2.244324125846227,2.9291366010904314,320.4947874383185,540.6788383827787,292.78473174680465,2.336044883410742,5.464195618496088,-0.6545849288080721,-0.29267323492791064,-0.09626296846905413,2.063546335709052,5.336044883410742,8.464195618496088,2.345415071191928,2.7073267650720894,2.903737031530946,5.063546335709052,-3.513560168535625,3.6656670747166524,1.895746582066461,-1.3827225011392892,-0.9196687925809605,-3.684932339933792,0.000442144263980764,0.0002466946908315442,0.05799356246961552,0.16674996979216994,0.3577458655208544,0.00022876340284610464,5.715146307502387,2.928426686829649,3.7420039932276534,405.1978922573944,695.1191057875375,451.2521363170792,2.0538282974022524,2.149672118043295,1.6211231652181948,0.8480664199337686,1.1267783406106,1.407567737214484,1.2187971776967448,2.0165578651701144,1.7925974373289086,1.8702072033108026,1.7487038105876986,2.2639017751098653,1.5146458153645301,1.2518343532755645,1.1955283269713406,5.261546231806278,2.223739892244339,5.021943360567093,523.5176620689826,796.4813979463125,205.6714895705027,-16,5,-13,6,-8,8
1170,1200,c,fh,01,24.833032190799713,10.475700378417969,12.101669073104858,2127.5699394376616,2099.81838906628,1859.1138347144063,-24.3350772857666,-3.827881813049317,-2.8830392360687256,-1111.2089402207102,-1348.051705615859,-1247.608255077972,0.4979549050331116,6.647818565368652,9.218629837036133,1016.3609992169514,751.766683450421,611.5055796364343,-3.888346981505553,0.7719747602939606,1.455449151992798,25.989371184701845,-57.66158076703907,-7.100211364257327,3.9738304004073144,1.5479667484760284,2.3464417894681295,314.05320674764334,463.92241923092934,376.0666309899526,5.372581004225754,1.797714735962562,0.06634305231773174,0.983413985627263,-0.36183865004427096,0.4513985667659952,8.372581004225754,4.797714735962562,3.0663430523177317,3.983413985627263,2.638161349955729,3.451398566765995,-4.123743074808388,2.020400333248091,2.555378216307566,-0.7936417783366537,-1.158110822821259,-2.5518026792725603,3.727646806082994e-05,0.0433418788939046,0.01060724718095477,0.42740400345390583,0.24681881389382554,0.010716719329325353,5.226692186160009,2.0509979502931053,3.2977550470187724,425.227277265645,543.9125903432313,498.8923560894817,2.1414263653825616,1.8526819663560397,1.8545465239164727,0.8533482871353788,1.4849055034958043,1.1437343855299937,0.9358004105755849,1.9491339865514075,1.7469739547899046,1.8341880194944562,1.7738959683192426,2.303943510915637,1.6305332920924283,1.3143332855908394,1.3497707301164783,5.44134671241045,0.8210588842630386,2.2864806801080704,443.6306288949222,776.4699340556047,537.025891115057,-21,-2,-7,5,-8,7
1311,1341,c,fh,01,22.129168123006824,20.439600467681885,17.5045063495636,2292.3159600298236,3075.3510309345097,1872.4057380090878,-21.75397109985352,-6.847792148590088,-3.4840738773345947,-1352.7877041448323,-1898.504300639057,-1622.8717434756254,0.375197023153305,13.591808319091797,14.020432472229004,939.5282558849914,1176.8467302954527,249.53399453346245,-5.1155869394540785,2.1085329006115594,1.6124500215053559,89.68494090448166,-113.57660996251457,-188.27662208730132,5.142705274621646,3.0445087303717933,3.413895446062088,439.9456225370628,541.4361840764452,330.10644185802965,1.8367638096729113,2.7981649507789026,0.19845130628408691,0.31320143363875674,0.2614538803698321,1.4782729623778623,4.836763809672911,5.798164950778903,3.198451306284087,3.3132014336387567,3.261453880369832,4.478272962377862,-3.331281068236968,1.5654577325242267,2.63525434298487,-2.1523537754264406,-0.2947293418712368,-3.3337029525330735,0.0008644726946196592,0.11747562064969984,0.008407425825676678,0.03136950143029466,0.7682006467089445,0.0008569812566198701,5.287860710022381,3.494725344610153,4.703746847311933,526.2512087055856,681.5617442859991,489.903417336097,1.9702169919978059,2.1025588556375823,1.5822087428384717,1.015577440350659,0.8113350477400094,1.5406902217423677,1.1507304320619736,1.8288743937998182,1.7797138351228257,1.9223772383937718,1.7388958488562583,2.166770181521354,1.428519771224449,1.2154208958211516,1.086234832902141,4.742172390222549,2.9645203575491905,5.554476946592331,612.848401657448,759.604421145659,465.6579889682133,-15,-4,-6,12,-7,13
1441,1471,c,fh,01,14.499076187610626,24.897546768188477,15.966588973999023,2965.0870797664647,2177.5855022766973,2064.3505827442377,-14.074604034423828,-7.440362930297852,-2.6196727752685547,-1409.4972895025876,-1482.3284162451337,-1239.2526934209986,0.4244721531867981,17.457183837890625,13.346916198730469,1555.5897902638774,695.2570860315639,825.0978893232389,-4.063610922296842,0.4832846353451411,1.8881372610727947,53.87207676951718,-86.36857193702492,-30.68870838871408,4.11312315762043,2.5113460808992385,2.7345176219940184,327.46761302824973,375.2713380067867,431.3486330451321,-0.2938757143150763,8.736340026674359,0.9914416134343718,2.8472400914915807,0.6837882271256612,-0.16407597296364385,2.7061242856849237,11.736340026674359,3.9914416134343718,5.847240091491581,3.6837882271256612,2.835924027036356,-2.1412895951923097,4.293675769598966,2.9467515840083185,0.7396440150142641,-1.6707745857793952,-1.7920514327126478,0.03225069167444889,1.7573906410268293e-05,0.003211310707473845,0.45951602683807213,0.09476621017330898,0.07312472762015944,4.189339532547523,3.9781429761157687,3.8301938122749166,550.2085486167036,493.52976347740497,575.6523120006623,1.882048999249664,2.099349017945313,1.9060236500878989,0.7543228592542354,1.3696185686476987,1.4609809204669046,1.2803748471947893,1.820795968482704,1.6238555296238388,1.6482234354656489,1.966585155775516,2.0768565742542764,1.755652447990079,1.3481473980172833,1.2740036551060543,6.390808060765266,3.44445863366127,4.2551539689302444,241.78380876432658,640.7155768861946,565.0336862784358,-15,-1,-6,5,-8,6
1600,1630,c,fh,01,20.25439763069153,17.18660879135132,13.294167757034302,2394.444117707629,2582.8425916219253,2235.1685868670274,-19.19280242919922,-4.698476314544678,-2.252185106277466,-1099.479155830724,-1613.3717699628385,-1432.2456443446652,1.0615952014923096,12.48813247680664,11.041982650756836,1294.9649618769051,969.4708216590868,802.9229425223623,-4.805172566572825,1.1832926293214163,1.7429400563240052,100.04155770346736,-127.38122815205503,47.86283608231255,5.169480375448862,2.7879389186700183,2.9186914722124735,320.2435631412971,466.7452081211756,431.97425495124827,-0.1780163269687507,1.2594849972542272,-0.15504660197741194,1.6237828760792565,0.24953537632336786,0.8148218840671801,2.8219836730312493,4.259484997254227,2.844953398022588,4.6237828760792565,3.249535376323368,3.81482188406718,-2.097298342062835,2.201109549301515,2.4331281501405355,-0.26667157241924244,-1.3026197676500086,-2.6030770558201963,0.03596717354650202,0.02772826942563178,0.014969001930560671,0.7897220434335878,0.19270460564815994,0.009239118558413308,5.595263659494788,3.678626704669733,3.856766401417991,449.2705440523058,639.0970192310425,562.6659375608201,2.034062952346947,2.2137713456796213,1.967550269412702,0.7714138932355572,1.4298476531982607,1.2271409374470725,1.2844788987172162,2.0536646919214427,1.6649445447740736,1.7129492464379816,1.8956373690483452,2.1790186861965273,1.8109170765229499,1.2546350451923813,1.3355089193800929,8.451620429754257,3.8579524308443074,4.677816927433014,336.2699409873717,589.6991249563744,494.5991792139893,-17,-8,9,6,-7,8
1754,1784,c,fh,01,16.69080811738968,16.790456295013428,16.711478233337406,2493.915386439813,2522.640867145326,1956.0178265828795,-16.225330352783203,-5.412232875823975,-3.735970497131348,-1121.4831839778105,-1528.5682505109867,-1343.3126471621374,0.4654777646064758,11.378223419189451,12.975507736206056,1372.4322024620026,994.0726166343392,612.705179420742,-4.433388649423917,1.3701519946257272,1.7547849182039499,51.15152005902213,-114.40497174766351,-6.695781093216811,4.483807093898455,2.400813418626785,3.0908730423698825,348.9508938214883,483.86422458361295,369.98566100789293,-0.22391746370092314,2.2119993427210742,0.4000209685587919,1.2233227103377562,-0.0071047280455811546,0.5229820579946316,2.776082536299077,5.211999342721074,3.400020968558792,4.223322710337756,2.992895271954419,3.5229820579946316,-2.332481712769583,2.024839887860412,2.7459107526960795,0.818394245869578,-0.8216530980256173,-2.572113865712314,0.01967536385569205,0.042883807768441626,0.0060343176554911535,0.41313210632216113,0.4112743599501987,0.010107964107113593,5.0226417900690326,3.064795300111617,4.459301562582719,491.683183443359,634.8430644289035,488.37366218217903,2.10573379962173,2.0963229302665116,1.7150548957215481,0.8277020986477038,1.250927413816622,1.2688615375086487,1.249706017424745,1.9545490902933387,1.876298179521596,1.967530665844535,1.8719598083410842,2.2195438650854022,1.4834426728418244,1.269330151765454,1.1514990833518424,7.429013192653656,3.1924459040164948,4.297174781560898,387.29733146514775,707.8454012945588,326.30058769675435,-21,-4,-12,6,-8,7
1868,1898,c,fh,01,24.598873019218445,16.85732078552246,15.349874019622803,2704.040309613326,2852.8663067219686,1290.5889962794613,-24.76180076599121,-6.626392364501953,-3.8044819831848153,-1137.555438717551,-1788.5604394562758,-974.81192030701,-0.1629277467727661,10.230928421020508,11.545392036437988,1566.4848708957752,1064.305867265693,315.77707597245137,-3.972785260279973,1.7891681869824727,1.277780960003535,70.3273767852867,-94.01613745782815,-30.35744000201844,3.972785260279973,2.797096073627472,2.8807138462861377,371.1551427030867,557.7153604500786,256.40021124379973,7.666379256361797,1.4433997154987477,0.28076380912331933,1.887377601323772,-0.22207714521944988,0.7513944056165673,10.666379256361797,4.443399715498748,3.2807638091233193,4.887377601323772,2.77792285478055,3.7513944056165673,-4.594266997205168,-0.11868438410658069,2.718798595916956,0.2114542079748331,-0.7464725779618102,-3.079541105712845,4.342730580962499e-06,0.9055254087723167,0.00655194891112332,0.8325328610195128,0.45538199067200325,0.00207319759079852,4.965566375696585,3.1346319606732584,4.138506239972899,491.7767022360379,699.0317187662862,351.28929517372546,2.274239049679508,1.862033047610226,1.93219726562561,1.0693148377922317,1.2248762430315603,1.5734077166938243,0.8554146834020313,1.8314789404393967,1.67706615689843,1.8421612593689083,1.7253735362335945,2.1641655690638912,1.4189010502511759,1.2891570655375544,0.9561785630915886,3.8835246711969376,3.2618200182914734,3.3632235527038574,517.2950455463993,923.2781635098313,223.75184980830448,-21,-1,-13,-2,-8,-5
2017,2047,c,fh,01,25.00659990310669,10.911278009414673,14.139127731323242,2624.39188909792,2637.3120934979693,1836.4684518042557,-24.819520950317383,-3.797858476638794,-5.022972106933594,-1301.6383299035745,-1925.4795043886186,-1404.9822612536423,0.1870789527893066,7.113419532775879,9.116155624389648,1322.7535591943454,711.8325891093508,431.48619055061346,-4.189904415607453,0.8756964017947515,1.3183450122674307,-30.117822058690802,-145.18391045001496,-74.17753153928918,4.2023763457934065,1.4174370914697647,3.1456969479719796,350.1293987995533,447.3307610908967,378.01518981738326,4.337827238385604,2.461151028455424,-0.594217154024907,1.2485489203766225,0.9852088823632803,0.7247673509868471,7.337827238385604,5.461151028455424,2.405782845975093,4.2485489203766225,3.9852088823632803,3.724767350986847,-3.9846697052708557,2.3112749370383945,0.9841218718025959,-0.7997631715302466,-2.0835175165126247,-3.1016570578098075,6.757405051184583e-05,0.020817673469925056,0.32505559409768736,0.4238480245791254,0.037204076738146664,0.0019244075752677047,5.504210673906709,2.0231780841929607,3.7398085843796722,536.4598758369198,585.362968388847,521.7099085087573,2.1272043856887466,2.049408341192204,1.8742156030780996,0.7729147573252491,1.1958984452899604,1.215374871230035,1.1128667299870512,2.042998673597474,1.8158692390591868,1.4941606347862526,1.8877130570922778,2.223838849613221,1.8049666363149226,1.3811298014270355,1.2403539296713004,5.053826794028282,1.3240913897752762,5.19441157579422,346.8814022828526,701.1205916981555,420.2121778537529,-15,-3,-7,4,-8,8
2165,2195,c,fh,01,24.592710614204407,11.5024094581604,14.532089710235596,1840.6358234244474,2684.311663365581,1677.2654575726394,-23.906360626220703,-5.087792873382568,-4.067667484283447,-1163.0366342088207,-1720.76529315105,-1312.9189610537408,0.6863499879837036,6.414616584777832,10.464422225952148,677.5991892156267,963.5463702145312,364.3464965188987,-4.0036488254865015,1.3712969879309336,1.3934607525666556,32.19369389936705,-120.26928548255225,-126.01578554057953,4.324709741274516,2.020815986394882,2.914153136809667,313.5161107810641,507.7050313573309,337.46962082718824,3.520832134750033,1.8448188405335753,-0.06795693579973072,1.2845848521506618,0.03807328515858188,0.26746351762805576,6.520832134750033,4.844818840533575,2.9320430642002693,4.284584852150662,3.038073285158582,3.2674635176280558,-3.827561318580221,-0.6618816893452988,2.375524389034351,-2.868026560001679,-0.8764998428598217,-2.8615968507087497,0.00012941914918172934,0.508047047568631,0.017524034263044858,0.004130408578191942,0.38075836177897715,0.004215126961093055,5.676599234031263,2.179505240378818,4.077628479234308,414.4105263511636,637.0439252612355,483.96504789290117,2.0126470039169058,2.050455273310986,1.6361330821448419,0.8936211249523287,0.8921152959524559,1.3269649654902522,1.1895311407240736,1.9177554692312109,1.8749908022770099,1.9281896417170779,1.8197247432074286,2.3321847465722003,1.4241320006440588,1.1425409207627615,0.9128298919507605,4.972125262022018,1.7512715011835098,3.4603077322244644,416.74487501027824,705.2365422391806,358.4819663239315,-13,-4,-7,6,-8,-6
