timestamp,AccX,AccY,AccZ,pitch,yaw,roll
37039.31524625,0.45776015520095825,-0.4193994402885437,0.11109870672225952,-0.04922583534868944,1.7434568265779398,1.3676972842189556
37039.33538225,0.4986279010772705,-0.41812238097190857,0.17440715432167053,-0.014497394473082108,1.7861713492201006,1.36504223518237
37039.35551925,0.5419565439224243,-0.383444607257843,0.15432216227054596,0.020853794946309158,1.8344174327554008,1.3594851872758098
37039.375656250006,0.46199601888656616,-0.2980306148529053,0.14232584834098816,0.05838681904121104,1.8833782755069823,1.349622348969964
37039.395793250005,0.20684117078781128,-0.13474386930465698,0.15106207132339478,0.10008806654975892,1.926799739721519,1.3369665172864815
37039.415929250004,7.486343383789062e-05,-0.06512120366096497,0.16691787540912628,0.14686245333370732,1.9636216096875854,1.323807002841818
37039.436066250004,-0.11485624313354492,-0.016361773014068604,0.18988415598869324,0.19871913181316206,1.9971974595660489,1.3105098556306023
37039.45620325,-0.1341094970703125,0.03623107075691223,0.19602569937705994,0.2547995025495944,2.0284538425400487,1.2965464234651594
37039.47633925,-0.12422525882720947,0.12475311756134033,0.23364472389221191,0.31321413578406904,2.0576937960218626,1.281754928643196
37039.49647625,-0.14448189735412598,0.18885919451713562,0.2671925127506256,0.3717885368085991,2.0853153623041556,1.2669589577042508
37039.51661325,-0.12806063890457153,0.21983131766319275,0.28935331106185913,0.42764805712892723,2.114290753254867,1.2517469528898963
37039.53675025,-0.08152490854263306,0.27280309796333313,0.2731963098049164,0.47962614257129493,2.1443682031116555,1.2351935540658763
37039.55688625,-0.06476515531539917,0.3282496929168701,0.2708190679550171,0.5268644136503726,2.173085137634494,1.2179432080837418
37039.57702325,-0.011970758438110352,0.3276553153991699,0.24285447597503662,0.5703061621645992,2.1979899839518664,1.2007270055960497
37039.59716025,0.028606414794921875,0.32772213220596313,0.25337597727775574,0.6094073607014779,2.2185618049926186,1.1844266652353297
37039.61729625,0.10727250576019287,0.3124108910560608,0.2554422914981842,0.6441030933734316,2.2340824891822706,1.170378756277104
37039.637433250005,0.19088023900985718,0.2809563875198364,0.2754032611846924,0.6736615570608878,2.2476236935181286,1.157784352325062
37039.657570250005,0.2177290916442871,0.25601667165756226,0.2508174777030945,0.6979639510192944,2.2617481689548344,1.1455618687702493
37039.677706250004,0.21046441793441772,0.3289409279823303,0.24343258142471313,0.7176487710805843,2.2701589489140006,1.1387467291989306
37039.697843250004,0.32361841201782227,0.2916938066482544,0.19769230484962463,0.7313824442493577,2.267194080916963,1.1419919643384788
37039.71798025,0.464347243309021,0.23871994018554688,0.2119857370853424,0.7313068145731245,2.2595844601246515,1.1507128722576294
37039.73811725,0.37957531213760376,0.1809448003768921,0.1998506784439087,0.7164124467037782,2.2549829889898483,1.1599549161551088
37039.75825325,0.20540738105773926,0.11739575862884521,0.11198261380195618,0.6951061595213784,2.248425018364296,1.1737024774446685
37039.77839025,0.14656907320022583,0.1885446310043335,-0.004179805517196655,0.673245954362913,2.231946010105247,1.197333822726055
37039.79852725,0.16619998216629028,0.064239501953125,-0.09907373785972595,0.648036784115934,2.2178985493126713,1.2216778188082829
37039.81866325,0.17615747451782227,0.022315561771392822,-0.16451865434646606,0.616344161933056,2.2164346281998326,1.239566681997541
37039.83880025,0.1258554458618164,0.16688483953475952,-0.2420693039894104,0.5827144002783402,2.2139153830564697,1.2570767330550887
37039.85893725,0.018959760665893555,0.1262175440788269,-0.26829734444618225,0.5496593465074942,2.2049926594927514,1.2749819890271428
37039.87907425,-0.12437975406646729,0.03728020191192627,-0.2696097493171692,0.5155686493231683,2.1996216160130513,1.2881883815846984
37039.899210250005,-0.2584525942802429,0.08965417742729187,-0.24435126781463623,0.4799383230446281,2.1970210479469516,1.298679245523336
37039.919347250005,-0.32569968700408936,0.14055845141410828,-0.22499977052211761,0.4432788718871998,2.1909203180827403,1.309804298007591
37039.939484250004,-0.30828481912612915,0.055859655141830444,-0.20221742987632751,0.40470795284792643,2.185450441026249,1.3195040734156913
37039.95962025,-0.2719652056694031,-0.05042263865470886,-0.1420242190361023,0.3629829543579542,2.186568906326697,1.3260166853571538
37039.97975725,-0.2222151756286621,-0.1066116988658905,-0.11376529932022095,0.318660643905813,2.195468624062749,1.3293988683322373
37039.99989425,-0.16959542036056519,-0.19451284408569336,-0.09449377655982971,0.272817615356699,2.211525562521798,1.3302199345371328
37040.02003125,-0.13884657621383667,-0.23296423256397247,-0.045791029930114746,0.22690945306115054,2.2336839597829794,1.330178950078519
37040.04016725,-0.11489218473434448,-0.2695237696170807,-0.07098779082298279,0.18280181500275447,2.2589715806793746,1.3302494819911872
37040.06030425,-0.1080251932144165,-0.3070678114891052,-0.12031435966491699,0.14207914663871435,2.284981675438454,1.3318598552981342
37040.08044125,-0.09691464900970459,-0.32888638973236084,-0.1095154881477356,0.10674100047802253,2.309715124515083,1.3354957364044997
37040.10057654167,-0.09462058544158936,-0.4763053059577942,-0.12771952152252197,0.078784117470378,2.3346737498914414,1.340916023892587
37040.12071354167,-0.09375709295272827,-0.4920673966407776,-0.13539861142635345,0.058487786089995636,2.361782090447283,1.3481786838980339
37040.14085054167,-0.06262832880020142,-0.47116222977638245,-0.2124449610710144,0.04663115430228626,2.3900051517246004,1.3570082871278966
37040.16098654167,0.031164228916168213,-0.44362497329711914,-0.2792869806289673,0.04218159941665474,2.418412411762427,1.366770484882116
37040.18112354167,0.16598224639892578,-0.3928185701370239,-0.24782417714595795,0.04217623686526158,2.4454867849054525,1.3765402611489914
37040.20126054167,0.42038965225219727,-0.5243004560470581,-0.236195906996727,0.04405788054330522,2.479451042116617,1.3850621021194731
37040.22139754167,0.6002261638641357,-0.5037291049957275,-0.15018849074840546,0.047420886548976075,2.5243272529923866,1.3901043894939338
37040.241533541666,0.5162052512168884,-0.38856878876686096,-0.10973095893859863,0.054344322385767495,2.570835288088283,1.3906236713912008
37040.261670541666,0.3553895354270935,-0.25380855798721313,-0.016744673252105713,0.0666906691462198,2.6109133371162847,1.3870205812457859
37040.281807541665,0.32470130920410156,-0.31266751885414124,0.03829669952392578,0.08414497665997503,2.649713412160027,1.3790565433993516
37040.30194354167,0.2873378396034241,-0.21552670001983643,0.08791396021842957,0.10520862980896373,2.6897501121705423,1.366480799614582
37040.32208054167,0.25207823514938354,-0.06319908797740936,0.16265928745269775,0.1290687278216495,2.7283021820479596,1.3502585236125446
37040.34221754167,0.2160167098045349,-0.04284454882144928,0.26738959550857544,0.15474801747601685,2.7657858697226176,1.331134624849821
37040.36235454167,0.11612433195114136,-0.07014906406402588,0.3381730318069458,0.17888074613154678,2.80751720870585,1.3095876562714361
37040.38249054167,0.0134962797164917,-0.0020446032285690308,0.4357222616672516,0.20175980554449924,2.8530056369423704,1.2867321705406098
37040.40262754167,-0.04621666669845581,0.009088054299354553,0.46060511469841003,0.22431274356804926,2.9004790001738048,1.26354353743776
37040.42276454167,-0.0731382966041565,0.03204840421676636,0.4615929424762726,0.2463867165927273,2.948650797170677,1.240250463330441
37040.44290054167,-0.06887161731719971,0.0909264087677002,0.45845240354537964,0.26883557179465944,2.9937103244767034,1.2172190823065439
37040.46303754167,-0.05966758728027344,0.11965429782867432,0.43183356523513794,0.2918874280598615,3.032263037096307,1.1953181451225061
37040.48317454167,-0.058126211166381836,0.13123193383216858,0.4535578787326813,0.313977559784342,3.0647914714602265,1.1750059316306225
37040.503310541666,-0.013344168663024902,0.15512141585350037,0.47431495785713196,0.33414084624448886,3.090653846255365,1.156896214958178
37040.523447541666,0.049194931983947754,0.15361288189888,0.4878818988800049,0.3528444325150192,3.1076548329280747,1.1423542794720225
37040.54358454167,0.04805117845535278,0.18148884177207947,0.5249136686325073,0.3734756045463928,3.112166709121538,1.1337891731125194
37040.56372154167,0.055134713649749756,0.10643276572227478,0.5741446614265442,0.39285819794961574,3.110486022822066,1.1297493464398516
37040.58385754167,0.09700894355773926,0.09829089045524597,0.5801481008529663,0.41093733768815194,3.1064576540199194,1.1294311241185278
37040.60399454167,0.14054399728775024,0.09749582409858704,0.588890016078949,0.42760813061924124,3.102739903589094,1.1319907745305369
37040.62413154167,0.13765430450439453,0.13999640941619873,0.5137988328933716,0.4434505825080981,3.099379182127514,1.138029820629113
37040.64426754167,0.11769044399261475,0.233625590801239,0.45175108313560486,0.46116339594640854,3.0893961700894743,1.1513825369515693
37040.66440454167,0.10042524337768555,0.2389639914035797,0.42213714122772217,0.482626625290602,3.0697506207775533,1.1742857828973035
37040.68454154167,0.08498227596282959,0.19229814410209656,0.3545886278152466,0.5037563076960921,3.04652371720647,1.2037384870510361
37040.70467854167,0.10373389720916748,0.0863172709941864,0.3015732765197754,0.5204632742084176,3.0327812654187336,1.2331384645886014
