Timestamp,AccelerationX,AccelerationY,AccelerationZ,Pitch,Yaw,Roll,RRX,RRY,RRZ
13279.826256625001,-0.1254511922597885,-0.11892101168632507,-0.04202502965927124,-0.5064092248565278,-0.9748522898081687,-0.047206422474739315,0.7009158134460449,-0.39765819907188416,0.7359325289726257
13279.846390625,-0.14735367894172668,-0.11840128898620605,-0.0609971284866333,-0.4923811530394162,-0.9581673602036931,-0.04761939866664376,0.7664285898208618,-0.4661305546760559,0.6351643800735474
13279.866524625,-0.15900889039039612,-0.1572876274585724,-0.03672069311141968,-0.4777105642728745,-0.9432754987577596,-0.050007604497888776,0.7455602884292603,-0.46474313735961914,0.585722804069519
13279.886658625,-0.16182328760623932,-0.2052767276763916,-0.06240111589431763,-0.4634159172249087,-0.9294065596798331,-0.05305347116973741,0.7462062239646912,-0.4796742796897888,0.5508577227592468
13279.906792625,-0.1211513876914978,-0.24747619032859802,-0.05001401901245117,-0.4478268324257792,-0.9167641686050798,-0.05767575337138497,0.8512647151947021,-0.5551053285598755,0.4869959354400635
13279.926926625001,-0.07793021202087402,-0.2700587213039398,0.0013431310653686523,-0.4297904496221661,-0.9054442058986963,-0.06444608540284465,0.9891456365585327,-0.6123667359352112,0.4096105992794037
13279.947061625,-0.05614304542541504,-0.29093948006629944,0.0026016831398010254,-0.409679617178324,-0.8957008832578416,-0.07327136779012434,1.0210301876068115,-0.6547464728355408,0.3275298476219177
13279.967195625,-0.021415293216705322,-0.3036764860153198,-0.009177863597869873,-0.39072114591345597,-0.8876213519641182,-0.08294631409686379,0.8958403468132019,-0.6325365900993347,0.25448334217071533
13279.987329625,-0.007419124245643616,-0.29772430658340454,-0.062012314796447754,-0.3751904875009776,-0.8811232574408238,-0.09277059455862818,0.6827787160873413,-0.5867307782173157,0.206187441945076
13280.007463625001,0.014136411249637604,-0.2903696298599243,-0.0767485499382019,-0.3627080486519216,-0.8757690685686023,-0.10176228161966462,0.6138566732406616,-0.5131211280822754,0.168359637260437
13280.027597625001,0.01089787483215332,-0.26599210500717163,-0.08210605382919312,-0.3510544135232858,-0.8707254765031561,-0.10969843759408127,0.5772632956504822,-0.4666597247123718,0.19981582462787628
13280.047731625002,0.020415380597114563,-0.19764947891235352,-0.03960984945297241,-0.3386527229199697,-0.8659152304257848,-0.11700357177555414,0.6819415092468262,-0.42900359630584717,0.12853924930095673
13280.067866625,0.018943801522254944,-0.21672892570495605,-0.036707162857055664,-0.3247314093115369,-0.8614767772839471,-0.123164049186774,0.7456471920013428,-0.34592941403388977,0.09877575933933258
13280.088000625,0.004344172775745392,-0.19243380427360535,-0.08478468656539917,-0.30980792041938227,-0.8578953670534434,-0.12810098579599077,0.7045313119888306,-0.26358747482299805,0.04144829139113426
13280.108134625001,0.03515399992465973,-0.2764405608177185,-0.03372693061828613,-0.2984764465396833,-0.8562573986418318,-0.1313651113675072,0.4138409197330475,-0.12218154221773148,-0.05351470410823822
13280.128268625002,0.02215789258480072,-0.27178236842155457,0.003505706787109375,-0.292044534013789,-0.8574141008455475,-0.13287957018130042,0.2309214174747467,-0.014609629288315773,-0.13275332748889923
13280.148402625,0.04404595494270325,-0.21653079986572266,0.018906056880950928,-0.2866002440158898,-0.8601479493432764,-0.13355316338004078,0.26582106947898865,0.014516565017402172,-0.20083332061767578
13280.168536625,0.05521966516971588,-0.20602327585220337,0.0269048810005188,-0.281265453289123,-0.8644666925208476,-0.1338935318562699,0.17053459584712982,0.061985455453395844,-0.2787933647632599
